date,product,category,region,sales_amount,units_sold,customer_id,payment_method
2024-01-04,Keyboard,Accessories,South,75.99,1,C1019,PayPal
2024-01-04,Notebook,Office Supplies,North,19.98,2,C2367,Debit Card
2024-01-04,Ergonomic Chair,Office Supplies,West,224.99,1,C1961,Debit Card
2024-01-04,Ergonomic Chair,Office Supplies,West,449.98,2,C1827,Debit Card
2024-01-04,Desk Organizer,Office Supplies,South,59.98,2,C1312,PayPal
2024-01-04,Mousepad,Accessories,West,189.9,10,C1361,Credit Card
2024-01-04,Laptop,Electronics,West,2599.98,2,C2401,Credit Card
2024-01-04,Webcam,Electronics,North,359.96,4,C2182,Credit Card
2024-01-04,Desk Organizer,Office Supplies,West,26.99,1,C1727,Cash
2024-01-04,Power Bank,Accessories,North,143.96,4,C1932,PayPal
2024-01-04,Keyboard,Accessories,West,75.99,1,C1582,Debit Card
2024-01-04,Webcam,Electronics,North,179.98,2,C1223,Credit Card
2024-01-04,Monitor,Electronics,North,349.99,1,C1100,Credit Card
2024-01-04,USB Cable,Accessories,West,23.38,2,C2436,PayPal
2024-01-04,LED Desk Lamp,Office Supplies,North,45.99,1,C2270,Debit Card
2024-01-04,Notebook,Office Supplies,East,8.99,1,C2273,PayPal
2024-01-04,Webcam,Electronics,North,179.98,2,C1751,Debit Card
2024-01-04,Mouse,Accessories,North,74.97,3,C1246,PayPal
2024-01-04,Tablet,Electronics,North,499.99,1,C2364,Debit Card
2024-01-05,Notebook,Office Supplies,East,39.96,4,C1145,PayPal
2024-01-05,Power Bank,Accessories,East,179.96,5,C2427,Cash
2024-01-05,Ergonomic Chair,Office Supplies,East,249.99,1,C1510,Cash
2024-01-05,Tablet,Electronics,East,999.98,2,C1765,Credit Card
2024-01-05,Ergonomic Chair,Office Supplies,East,999.96,4,C1290,Cash
2024-01-05,Tablet,Electronics,West,449.99,1,C2429,PayPal
2024-01-05,Smartphone,Electronics,South,1519.98,2,C2425,Credit Card
2024-01-05,Mousepad,Accessories,West,19.99,1,C1484,Credit Card
2024-01-05,LED Desk Lamp,Office Supplies,West,41.39,1,C1550,PayPal
2024-01-05,Notebook,Office Supplies,East,9.49,1,C2106,Credit Card
2024-01-05,Tablet,Electronics,West,499.99,1,C1159,Credit Card
2024-01-05,Mouse,Accessories,East,24.99,1,C2191,Credit Card
2024-01-05,Laptop,Electronics,East,4679.96,4,C2170,Debit Card
2024-01-05,Headphones,Electronics,West,159.99,1,C2054,PayPal
2024-01-05,Ergonomic Chair,Office Supplies,East,449.98,2,C2122,Cash
2024-01-05,Notebook,Office Supplies,East,9.49,1,C2004,Cash
2024-01-05,Smartphone,Electronics,North,2399.97,3,C1393,Credit Card
2024-01-05,LED Desk Lamp,Office Supplies,South,124.17,3,C1359,PayPal
2024-01-05,Monitor,Electronics,East,629.98,2,C1684,PayPal
2024-01-05,Notebook,Office Supplies,West,17.98,2,C1468,Debit Card
2024-01-05,Desk Organizer,Office Supplies,West,29.99,1,C1383,Credit Card
2024-01-05,Webcam,Electronics,South,85.49,1,C1182,Credit Card
2024-01-05,Mousepad,Accessories,West,39.98,2,C2274,Credit Card
2024-01-05,Tablet,Electronics,North,449.99,1,C1731,PayPal
2024-01-05,Mouse,Accessories,West,24.99,1,C1748,Credit Card
2024-01-05,USB Cable,Accessories,East,24.68,2,C2177,Cash
2024-01-05,USB Cable,Accessories,East,46.76,4,C1263,Credit Card
2024-01-05,Headphones,Electronics,South,159.99,1,C1402,Credit Card
2024-01-05,Webcam,Electronics,South,89.99,1,C2124,Cash
2024-01-05,Webcam,Electronics,North,89.99,1,C1416,PayPal
2024-01-06,Headphones,Electronics,West,479.97,3,C2395,Credit Card
2024-01-06,Keyboard,Accessories,East,379.95,5,C2214,Cash
2024-01-06,Power Bank,Accessories,West,71.98,2,C1123,Credit Card
2024-01-06,Webcam,Electronics,North,170.98,2,C1596,Cash
2024-01-06,Keyboard,Accessories,South,215.97,3,C1277,Cash
2024-01-06,Webcam,Electronics,South,179.98,2,C2143,PayPal
2024-01-06,Keyboard,Accessories,North,215.97,3,C1336,Cash
2024-01-06,Power Bank,Accessories,North,113.97,3,C1221,Credit Card
2024-01-06,Desk Organizer,Office Supplies,East,26.99,1,C1631,Debit Card
2024-01-06,Headphones,Electronics,East,159.99,1,C1365,Debit Card
2024-01-06,Monitor,Electronics,North,3149.91,10,C2201,Credit Card
2024-01-06,Notebook,Office Supplies,West,19.98,2,C1569,Debit Card
2024-01-06,Laptop,Electronics,South,1299.99,1,C1960,Cash
2024-01-06,Notebook,Office Supplies,East,9.99,1,C1457,PayPal
2024-01-06,Mouse,Accessories,East,23.74,1,C2046,PayPal
2024-01-06,Tablet,Electronics,South,999.98,2,C1347,Cash
2024-01-06,USB Cable,Accessories,West,51.96,4,C1054,Credit Card
2024-01-06,Notebook,Office Supplies,North,17.98,2,C2302,PayPal
2024-01-06,Desk Organizer,Office Supplies,West,85.47,3,C1154,Cash
2024-01-06,Keyboard,Accessories,South,75.99,1,C2399,Credit Card
2024-01-06,Monitor,Electronics,South,699.98,2,C1042,Debit Card
2024-01-06,Headphones,Electronics,South,159.99,1,C1420,Credit Card
2024-01-06,Headphones,Electronics,East,287.98,2,C2368,Credit Card
2024-01-06,Smartphone,Electronics,North,2159.97,3,C1172,Debit Card
2024-01-06,Webcam,Electronics,East,89.99,1,C1673,Debit Card
2024-01-06,Mouse,Accessories,East,24.99,1,C1327,Credit Card
2024-01-06,Mouse,Accessories,East,44.98,2,C2458,Cash
2024-01-06,Keyboard,Accessories,West,227.97,3,C1492,Debit Card
2024-01-06,Ergonomic Chair,Office Supplies,East,249.99,1,C2331,Cash
2024-01-06,Headphones,Electronics,South,303.98,2,C1068,Debit Card
2024-01-06,Mouse,Accessories,North,67.47,3,C1396,Debit Card
2024-01-06,Power Bank,Accessories,West,113.97,3,C2497,Debit Card
2024-01-06,Tablet,Electronics,North,949.98,2,C1121,PayPal
2024-01-06,Mouse,Accessories,East,23.74,1,C1206,Credit Card
2024-01-07,Notebook,Office Supplies,West,19.98,2,C2498,Cash
2024-01-07,USB Cable,Accessories,East,38.97,3,C1091,Debit Card
2024-01-07,Ergonomic Chair,Office Supplies,West,237.49,1,C2411,PayPal
2024-01-07,USB Cable,Accessories,South,64.95,5,C2306,Debit Card
2024-01-07,Notebook,Office Supplies,West,8.99,1,C1028,Credit Card
2024-01-07,Desk Organizer,Office Supplies,West,85.47,3,C1999,Credit Card
2024-01-07,USB Cable,Accessories,East,51.96,4,C1992,Credit Card
2024-01-07,Smartphone,Electronics,West,799.99,1,C1454,Cash
2024-01-07,LED Desk Lamp,Office Supplies,East,45.99,1,C1083,Cash
2024-01-07,Notebook,Office Supplies,South,28.47,3,C1822,Credit Card
2024-01-07,Power Bank,Accessories,North,107.97,3,C1767,Cash
2024-01-07,Smartphone,Electronics,West,2879.96,4,C1959,Credit Card
2024-01-07,Mouse,Accessories,South,23.74,1,C1101,Debit Card
2024-01-07,Headphones,Electronics,West,151.99,1,C1151,Cash
2024-01-07,Mouse,Accessories,North,22.49,1,C1379,Cash
2024-01-07,Webcam,Electronics,North,89.99,1,C1522,Debit Card
2024-01-07,Notebook,Office Supplies,East,49.95,5,C1402,Credit Card
2024-01-07,Headphones,Electronics,North,1519.9,10,C1265,PayPal
2024-01-07,Monitor,Electronics,West,699.98,2,C1697,PayPal
2024-01-07,LED Desk Lamp,Office Supplies,North,91.98,2,C1902,PayPal
2024-01-07,Mouse,Accessories,South,24.99,1,C2158,Cash
2024-01-07,Mousepad,Accessories,East,19.99,1,C1813,Cash
2024-01-07,Headphones,Electronics,North,319.98,2,C1420,Debit Card
2024-01-07,Webcam,Electronics,East,179.98,2,C1935,Cash
2024-01-07,Tablet,Electronics,East,3999.92,8,C1138,Debit Card
2024-01-07,Monitor,Electronics,South,349.99,1,C1763,Credit Card
2024-01-07,Laptop,Electronics,West,1234.99,1,C1367,Credit Card
2024-01-07,Tablet,Electronics,North,999.98,2,C2378,Debit Card
2024-01-07,Smartphone,Electronics,West,799.99,1,C1805,Cash
2024-01-07,LED Desk Lamp,Office Supplies,North,45.99,1,C1994,Cash
2024-01-07,Monitor,Electronics,West,1399.96,4,C1012,PayPal
2024-01-07,Keyboard,Accessories,East,159.98,2,C1696,Credit Card
2024-01-07,Keyboard,Accessories,West,71.99,1,C2178,Credit Card
2024-01-07,USB Cable,Accessories,South,25.98,2,C1134,Debit Card
2024-01-07,Laptop,Electronics,West,3899.97,3,C2107,PayPal
2024-01-07,Tablet,Electronics,West,999.98,2,C1625,Cash
2024-01-07,Headphones,Electronics,North,159.99,1,C1101,Cash
2024-01-08,Monitor,Electronics,South,1259.96,4,C1130,Cash
2024-01-08,Tablet,Electronics,North,999.98,2,C1595,Debit Card
2024-01-08,Webcam,Electronics,South,179.98,2,C2271,Debit Card
2024-01-08,Ergonomic Chair,Office Supplies,South,449.98,2,C1302,Cash
2024-01-08,Desk Organizer,Office Supplies,North,28.49,1,C1899,PayPal
2024-01-08,Ergonomic Chair,Office Supplies,West,749.97,3,C1653,Credit Card
2024-01-08,Laptop,Electronics,South,1299.99,1,C2237,PayPal
2024-01-08,Mouse,Accessories,South,49.98,2,C1577,Debit Card
2024-01-08,LED Desk Lamp,Office Supplies,West,91.98,2,C1323,Cash
2024-01-08,USB Cable,Accessories,West,38.97,3,C1908,Debit Card
2024-01-08,Mousepad,Accessories,South,19.99,1,C1894,Debit Card
2024-01-08,Keyboard,Accessories,South,151.98,2,C1445,Credit Card
2024-01-08,Mousepad,Accessories,North,35.98,2,C1093,Cash
2024-01-08,Mousepad,Accessories,West,79.96,4,C1511,PayPal
2024-01-08,Ergonomic Chair,Office Supplies,North,499.98,2,C1660,Cash
2024-01-08,Notebook,Office Supplies,West,9.99,1,C1987,Credit Card
2024-01-08,Laptop,Electronics,South,1299.99,1,C2424,Debit Card
2024-01-08,Notebook,Office Supplies,South,19.98,2,C1653,Debit Card
2024-01-08,Keyboard,Accessories,West,159.98,2,C1217,Credit Card
2024-01-08,Mouse,Accessories,North,24.99,1,C1942,PayPal
2024-01-08,Power Bank,Accessories,South,159.96,4,C1461,Credit Card
2024-01-08,Keyboard,Accessories,East,79.99,1,C1211,Credit Card
2024-01-08,LED Desk Lamp,Office Supplies,South,137.97,3,C1678,Debit Card
2024-01-08,Mouse,Accessories,West,44.98,2,C2350,PayPal
2024-01-08,Webcam,Electronics,South,80.99,1,C1490,PayPal
2024-01-08,Webcam,Electronics,West,256.47,3,C1540,Cash
2024-01-08,Keyboard,Accessories,North,319.96,4,C2038,Debit Card
2024-01-08,Tablet,Electronics,East,499.99,1,C1063,Cash
2024-01-08,Mousepad,Accessories,East,79.96,4,C1674,Credit Card
2024-01-08,Keyboard,Accessories,North,239.97,3,C2182,Cash
2024-01-08,Laptop,Electronics,North,2469.98,2,C1055,PayPal
2024-01-08,LED Desk Lamp,Office Supplies,North,91.98,2,C1026,Cash
2024-01-08,LED Desk Lamp,Office Supplies,North,91.98,2,C1953,Debit Card
2024-01-08,Notebook,Office Supplies,East,19.98,2,C2246,Credit Card
2024-01-09,Monitor,Electronics,East,944.97,3,C1750,Debit Card
2024-01-09,Mouse,Accessories,East,22.49,1,C1159,Debit Card
2024-01-09,Laptop,Electronics,East,2599.98,2,C1291,Debit Card
2024-01-09,Webcam,Electronics,West,269.97,3,C1013,PayPal
2024-01-09,Power Bank,Accessories,East,71.98,2,C1449,Cash
2024-01-09,Webcam,Electronics,West,161.98,2,C1331,Credit Card
2024-01-09,Tablet,Electronics,West,499.99,1,C2480,Debit Card
2024-01-09,Smartphone,Electronics,South,1439.98,2,C1501,Debit Card
2024-01-09,Smartphone,Electronics,South,799.99,1,C1275,Credit Card
2024-01-09,Keyboard,Accessories,West,239.97,3,C1971,Debit Card
2024-01-09,Power Bank,Accessories,North,119.97,3,C1224,Credit Card
2024-01-09,Ergonomic Chair,Office Supplies,East,499.98,2,C2436,Debit Card
2024-01-09,Tablet,Electronics,North,449.99,1,C1552,PayPal
2024-01-09,Keyboard,Accessories,East,79.99,1,C1928,Debit Card
2024-01-09,Mousepad,Accessories,South,18.99,1,C1856,Credit Card
2024-01-09,Webcam,Electronics,North,89.99,1,C2078,Credit Card
2024-01-09,Headphones,Electronics,West,319.98,2,C1260,Cash
2024-01-09,Ergonomic Chair,Office Supplies,South,499.98,2,C1967,Credit Card
2024-01-09,Monitor,Electronics,West,1049.97,3,C1719,PayPal
2024-01-09,Power Bank,Accessories,South,37.99,1,C1045,Cash
2024-01-09,Tablet,Electronics,North,474.99,1,C1863,PayPal
2024-01-09,USB Cable,Accessories,West,103.92,8,C1628,Cash
2024-01-09,Ergonomic Chair,Office Supplies,North,249.99,1,C1438,Debit Card
2024-01-09,Desk Organizer,Office Supplies,West,149.95,5,C2376,Cash
2024-01-09,Mousepad,Accessories,South,94.95,5,C2066,Credit Card
2024-01-09,Laptop,Electronics,North,1299.99,1,C1539,PayPal
2024-01-09,Headphones,Electronics,West,143.99,1,C1727,Debit Card
2024-01-09,Notebook,Office Supplies,South,9.99,1,C1878,Debit Card
2024-01-09,Desk Organizer,Office Supplies,South,29.99,1,C1673,Cash
2024-01-09,Mouse,Accessories,West,99.96,4,C1939,Credit Card
2024-01-09,Webcam,Electronics,West,161.98,2,C1442,PayPal
2024-01-09,Laptop,Electronics,North,3899.97,3,C2285,Debit Card
2024-01-09,Ergonomic Chair,Office Supplies,West,749.97,3,C1536,PayPal
2024-01-09,Laptop,Electronics,East,2339.98,2,C2026,Credit Card
2024-01-09,Notebook,Office Supplies,North,9.49,1,C1042,PayPal
2024-01-10,LED Desk Lamp,Office Supplies,South,45.99,1,C1282,Debit Card
2024-01-10,Laptop,Electronics,East,1299.99,1,C1206,Debit Card
2024-01-10,Power Bank,Accessories,South,79.98,2,C1781,Debit Card
2024-01-10,Headphones,Electronics,West,607.96,4,C2064,PayPal
2024-01-10,Tablet,Electronics,North,999.98,2,C2161,PayPal
2024-01-10,Headphones,Electronics,South,431.97,3,C1462,Cash
2024-01-10,Notebook,Office Supplies,South,19.98,2,C2417,Credit Card
2024-01-10,Notebook,Office Supplies,West,19.98,2,C1788,Credit Card
2024-01-10,Laptop,Electronics,West,3704.97,3,C2019,Cash
2024-01-10,Desk Organizer,Office Supplies,North,26.99,1,C2178,PayPal
2024-01-10,USB Cable,Accessories,West,11.69,1,C1420,Credit Card
2024-01-10,Desk Organizer,Office Supplies,East,59.98,2,C1735,Credit Card
2024-01-10,Mouse,Accessories,North,237.4,10,C1187,PayPal
2024-01-10,USB Cable,Accessories,South,64.95,5,C1996,PayPal
2024-01-10,Ergonomic Chair,Office Supplies,South,224.99,1,C1862,Cash
2024-01-10,Laptop,Electronics,South,1169.99,1,C1131,Cash
2024-01-10,Desk Organizer,Office Supplies,East,89.97,3,C1729,Debit Card
2024-01-10,Power Bank,Accessories,West,37.99,1,C1777,PayPal
2024-01-10,Notebook,Office Supplies,South,9.99,1,C1640,PayPal
2024-01-10,Laptop,Electronics,West,1299.99,1,C1139,Credit Card
2024-01-10,USB Cable,Accessories,East,25.98,2,C2329,PayPal
2024-01-10,Monitor,Electronics,West,1049.97,3,C1275,Debit Card
2024-01-10,LED Desk Lamp,Office Supplies,West,45.99,1,C2226,Cash
2024-01-10,Tablet,Electronics,North,2499.95,5,C2333,Credit Card
2024-01-10,Keyboard,Accessories,North,319.96,4,C1132,Credit Card
2024-01-10,Keyboard,Accessories,South,239.97,3,C1910,Credit Card
2024-01-10,Mouse,Accessories,North,49.98,2,C1622,Debit Card
2024-01-11,Ergonomic Chair,Office Supplies,East,749.97,3,C2021,Credit Card
2024-01-11,Laptop,Electronics,East,2339.98,2,C1834,Debit Card
2024-01-11,Webcam,Electronics,North,89.99,1,C1697,Credit Card
2024-01-11,Desk Organizer,Office Supplies,East,299.9,10,C1544,Credit Card
2024-01-11,Notebook,Office Supplies,South,9.49,1,C2415,PayPal
2024-01-11,LED Desk Lamp,Office Supplies,West,183.96,4,C1614,Credit Card
2024-01-11,Tablet,Electronics,North,449.99,1,C1421,PayPal
2024-01-11,USB Cable,Accessories,South,25.98,2,C1418,Cash
2024-01-11,Desk Organizer,Office Supplies,South,59.98,2,C2301,Credit Card
2024-01-11,Tablet,Electronics,South,1999.96,4,C1407,Debit Card
2024-01-11,Keyboard,Accessories,North,159.98,2,C1833,Debit Card
2024-01-11,Notebook,Office Supplies,West,9.99,1,C2475,Cash
2024-01-11,LED Desk Lamp,Office Supplies,West,183.96,4,C2021,PayPal
2024-01-11,Mousepad,Accessories,North,39.98,2,C1668,Cash
2024-01-11,Desk Organizer,Office Supplies,North,29.99,1,C1403,PayPal
2024-01-11,Keyboard,Accessories,East,79.99,1,C1069,Debit Card
2024-01-11,Power Bank,Accessories,North,37.99,1,C2397,PayPal
2024-01-11,Mousepad,Accessories,North,18.99,1,C1676,Cash
2024-01-11,Tablet,Electronics,West,499.99,1,C2229,Credit Card
2024-01-11,Headphones,Electronics,East,159.99,1,C1953,Credit Card
2024-01-11,Tablet,Electronics,East,499.99,1,C1917,Cash
2024-01-11,Laptop,Electronics,South,1299.99,1,C1631,Debit Card
2024-01-11,Notebook,Office Supplies,North,17.98,2,C1346,Credit Card
2024-01-11,Power Bank,Accessories,West,119.97,3,C1995,Credit Card
2024-01-11,Desk Organizer,Office Supplies,South,89.97,3,C1815,Cash
2024-01-11,Tablet,Electronics,North,449.99,1,C1165,Cash
2024-01-11,LED Desk Lamp,Office Supplies,North,91.98,2,C1374,PayPal
2024-01-11,LED Desk Lamp,Office Supplies,North,45.99,1,C1036,Debit Card
2024-01-11,Power Bank,Accessories,North,151.96,4,C2356,PayPal
2024-01-11,USB Cable,Accessories,East,12.99,1,C2426,Credit Card
2024-01-11,LED Desk Lamp,Office Supplies,North,91.98,2,C2122,Credit Card
2024-01-11,LED Desk Lamp,Office Supplies,North,91.98,2,C1149,Debit Card
2024-01-12,Mouse,Accessories,West,199.92,8,C2414,Credit Card
2024-01-12,LED Desk Lamp,Office Supplies,West,45.99,1,C1376,PayPal
2024-01-12,Ergonomic Chair,Office Supplies,South,237.49,1,C1587,Debit Card
2024-01-12,Keyboard,Accessories,North,71.99,1,C1013,Credit Card
2024-01-12,Keyboard,Accessories,East,239.97,3,C2483,PayPal
2024-01-12,Keyboard,Accessories,East,79.99,1,C2316,Credit Card
2024-01-12,Tablet,Electronics,East,499.99,1,C2143,Cash
2024-01-12,Monitor,Electronics,West,314.99,1,C1797,Cash
2024-01-12,Ergonomic Chair,Office Supplies,East,224.99,1,C2406,PayPal
2024-01-12,Keyboard,Accessories,West,143.98,2,C1966,PayPal
2024-01-12,Ergonomic Chair,Office Supplies,West,499.98,2,C2455,Debit Card
2024-01-12,Power Bank,Accessories,South,39.99,1,C1132,Credit Card
2024-01-12,Keyboard,Accessories,South,79.99,1,C1287,Credit Card
2024-01-12,LED Desk Lamp,Office Supplies,South,43.69,1,C1706,Credit Card
2024-01-12,Mousepad,Accessories,West,17.99,1,C1929,Cash
2024-01-12,Notebook,Office Supplies,East,17.98,2,C1931,Credit Card
2024-01-12,Mouse,Accessories,East,74.97,3,C1997,Credit Card
2024-01-12,Notebook,Office Supplies,East,17.98,2,C1134,Cash
2024-01-12,Keyboard,Accessories,North,71.99,1,C1104,Cash
2024-01-12,Webcam,Electronics,South,359.96,4,C1555,PayPal
2024-01-12,Mouse,Accessories,South,94.96,4,C2057,PayPal
2024-01-12,Monitor,Electronics,West,699.98,2,C2232,Debit Card
2024-01-12,Mousepad,Accessories,South,18.99,1,C2124,Credit Card
2024-01-12,Tablet,Electronics,North,999.98,2,C1353,Cash
2024-01-12,LED Desk Lamp,Office Supplies,East,43.69,1,C2416,Cash
2024-01-13,Monitor,Electronics,North,1329.96,4,C2077,Cash
2024-01-13,Ergonomic Chair,Office Supplies,West,899.96,4,C2315,Debit Card
2024-01-13,USB Cable,Accessories,West,11.69,1,C1401,Cash
2024-01-13,Ergonomic Chair,Office Supplies,South,712.47,3,C1731,Credit Card
2024-01-13,Power Bank,Accessories,West,39.99,1,C1535,PayPal
2024-01-13,Monitor,Electronics,South,332.49,1,C1975,Cash
2024-01-13,Webcam,Electronics,East,85.49,1,C1177,Credit Card
2024-01-13,Power Bank,Accessories,North,39.99,1,C1724,Debit Card
2024-01-13,USB Cable,Accessories,South,12.99,1,C1546,Cash
2024-01-13,USB Cable,Accessories,North,11.69,1,C1365,Debit Card
2024-01-13,Ergonomic Chair,Office Supplies,West,224.99,1,C1233,PayPal
2024-01-13,Webcam,Electronics,South,323.96,4,C1309,Cash
